Startup Name,Amount_Cleaned,Sector_Standardized,City,State_Standardized,Investors' Name,Date_Parsed,Year
Pepperfry,₹348.63 Cr,E-Commerce,Chennai,Tamil Nadu,Elevation Capital,2017-08-25,2017
Redbus,₹177.42 Cr,E-Commerce,Mumbai,Maharashtra,"Steadview Capital, Kalaari Capital",2015-06-08,2015
Zostel,₹7.85 Cr,Fintech,Delhi,Delhi,Accel India,2016-07-22,2016
Hike Messenger,₹35.48 Cr,E-Commerce,Mumbai,Maharashtra,Saama Capital,2011-09-14,2011
FamPay,₹80.00 Cr,Fintech,Delhi,Delhi,Chiratae Ventures,2024-10-05,2024
Blue Smart,₹5.93 Cr,Fintech,Chandigarh,Chandigarh,SAIF Partners,2022-06-08,2022
Zappfresh,₹41.79 Cr,Gaming,Mumbai,Maharashtra,Deepinder Goyal,2021-05-10,2021
Rapido,₹49.55 Cr,E-Commerce,Kolkata,West Bengal,Nexus Venture Partners,2019-06-24,2019
FabFurnish,₹80.99 Cr,Foodtech,Ahmedabad,Gujarat,Lightspeed India,2016-10-20,2016
OkCredit,₹33.30 Cr,E-Commerce,Surat,Gujarat,Ratan Tata,2024-05-18,2024
Jupiter,₹503.55 Cr,Foodtech,Indore,Madhya Pradesh,Sequoia Capital India,2021-04-02,2021
Mamaearth,₹179.48 Cr,Edtech,Coimbatore,Tamil Nadu,"Tiger Global, Steadview Capital",2024-12-29,2024
Apna,₹26.38 Cr,Foodtech,Lucknow,Uttar Pradesh,Lightspeed India,2021-05-06,2021
Upstox,₹84.18 Cr,Fintech,Bangalore,Karnataka,Chiratae Ventures,2017-10-10,2017
Wow Skin Science,₹176.49 Cr,E-Commerce,Kolkata,West Bengal,"Fireside Ventures, Sequoia Capital India",2024-04-27,2024
OkCredit,₹192.85 Cr,E-Commerce,Mumbai,Maharashtra,"Blume Ventures, Steadview Capital",2023-07-09,2023
OYO Rooms,₹75.61 Cr,E-Commerce,Kochi,Kerala,"SAIF Partners, Elevation Capital",2017-04-03,2017
Stable Money,₹17.58 Cr,E-Commerce,Gurgaon,Haryana,Mumbai Angels,2022-07-29,2022
KreditBee,₹5.61 Cr,Healthtech,Mumbai,Maharashtra,Blume Ventures,2022-11-07,2022
Dunzo Daily,₹5.80 Cr,SaaS,Coimbatore,Tamil Nadu,Kalaari Capital,2019-05-07,2019
Verloop.io,₹13.85 Cr,Fintech,Chennai,Tamil Nadu,Lightspeed India,2016-01-15,2016
FabHotels,₹17.63 Cr,SaaS,Pune,Maharashtra,SAIF Partners,2020-05-19,2020
BankBazaar,₹3.49 Cr,E-Commerce,Hyderabad,Telangana,Kalaari Capital,2011-01-17,2011
CredFlow,₹1791.97 Cr,E-Commerce,Gurgaon,Haryana,"Saama Capital, KKR India, Tencent",2025-03-30,2025
CarWale,₹7.55 Cr,SaaS,Mumbai,Maharashtra,Ritesh Agarwal,2018-03-14,2018
Zebronics,₹985.22 Cr,E-Commerce,Delhi,Delhi,"Lightspeed Venture Partners, Matrix Partners India, Accel Partners, Naspers",2025-05-29,2025
Swiggy,₹836.21 Cr,Foodtech,Lucknow,Uttar Pradesh,"General Atlantic, Matrix Partners India, Coatue Management, Warburg Pincus",2017-05-15,2017
Jupiter,₹8.67 Cr,Foodtech,Surat,Gujarat,Kalaari Capital,2019-11-21,2019
Shiprocket,₹29.64 Cr,Foodtech,Pune,Maharashtra,Chiratae Ventures,2020-01-15,2020
CarDekho,₹114.03 Cr,E-Commerce,Indore,Madhya Pradesh,Bhavish Aggarwal,2017-01-31,2017
BlackBuck,₹393.30 Cr,Foodtech,Chennai,Tamil Nadu,Lightspeed India,2018-11-13,2018
Shopclues,₹9.46 Cr,SaaS,Ahmedabad,Gujarat,Peak XV Partners,2018-09-15,2018
Milkbasket,₹15.05 Cr,E-Commerce,Delhi,Delhi,Falguni Nayar,2019-03-04,2019
CropIn,₹55.56 Cr,Agritech,Delhi,Delhi,Saama Capital,2025-11-17,2025
Drivezy,₹68.40 Cr,Social Media,Bangalore,Karnataka,Blume Ventures,2021-10-27,2021
BookMyShow,₹37.07 Cr,E-Commerce,Bangalore,Karnataka,Indian Angel Network,2015-12-17,2015
MyGlamm,₹6.97 Cr,E-Commerce,Bangalore,Karnataka,Mumbai Angels,2022-10-06,2022
Jumbotail,₹103.26 Cr,SaaS,Mumbai,Maharashtra,Kalaari Capital,2021-04-19,2021
Shiprocket,₹3.85 Cr,Foodtech,Mumbai,Maharashtra,Bhavish Aggarwal,2016-11-27,2016
Digit Insurance,₹777.99 Cr,Healthtech,Jaipur,Rajasthan,"Steadview Capital, Kalaari Capital",2021-11-12,2021
Roposo,₹633.23 Cr,E-Commerce,Gurgaon,Haryana,"Peak XV Partners, Lightspeed India, Lightspeed Venture Partners",2023-05-24,2023
Unacademy,₹124.80 Cr,Fintech,Bangalore,Karnataka,Mumbai Angels,2016-03-26,2016
Ather Energy,₹1761.31 Cr,E-Commerce,Mysore,Karnataka,"Everstone Capital, Lightspeed India, Sequoia Capital, Alibaba",2025-05-18,2025
CropIn,₹4.37 Cr,Agritech,Coimbatore,Tamil Nadu,Indian Angel Network,2022-08-25,2022
Shopclues,₹7.16 Cr,SaaS,Thiruvananthapuram,Kerala,SAIF Partners,2016-09-22,2016
InShorts,₹72.76 Cr,SaaS,Mumbai,Maharashtra,Sachin Bansal,2024-10-23,2024
ShareChat,₹23.95 Cr,Fintech,Hyderabad,Telangana,Elevation Capital,2022-09-14,2022
Stable Money,₹11.43 Cr,E-Commerce,Jaipur,Rajasthan,SAIF Partners,2023-01-20,2023
Waycool Foods,₹11.18 Cr,Foodtech,Vadodara,Gujarat,Matrix Partners India,2022-12-12,2022
FreshToHome,₹692.35 Cr,Fintech,Bangalore,Karnataka,"Sequoia Capital, Blume Ventures",2023-10-12,2023
BharatPe,₹7.05 Cr,Healthtech,Chennai,Tamil Nadu,Nexus Venture Partners,2023-06-27,2023
Tractor Junction,₹143.44 Cr,Logistics,Chandigarh,Chandigarh,Fireside Ventures,2024-01-10,2024
Udaan,₹54.09 Cr,Fintech,Gurgaon,Haryana,Ratan Tata,2014-02-28,2014
Udaan,₹6.72 Cr,Fintech,Indore,Madhya Pradesh,Kunal Shah,2014-07-12,2014
Cars24,₹22.89 Cr,Fintech,Lucknow,Uttar Pradesh,Bhavish Aggarwal,2021-09-10,2021
Country Delight,₹235.80 Cr,Healthtech,Kochi,Kerala,Aditya Birla Ventures,2022-02-10,2022
Slice,₹274.31 Cr,SaaS,Ahmedabad,Gujarat,"Sequoia Capital India, Coatue Management",2022-03-04,2022
Mobile Premier League,₹11.48 Cr,Foodtech,Visakhapatnam,Andhra Pradesh,Matrix Partners India,2018-10-23,2018
MobiKwik,₹23.81 Cr,E-Commerce,Chennai,Tamil Nadu,Elevation Capital,2018-07-26,2018
Cars24,₹109.10 Cr,Fintech,Lucknow,Uttar Pradesh,Accel India,2017-12-01,2017
Digit Insurance,₹17.88 Cr,Healthtech,Chennai,Tamil Nadu,Chiratae Ventures,2017-02-19,2017
Ecom Express,₹53.73 Cr,E-Commerce,Indore,Madhya Pradesh,Matrix Partners India,2018-10-21,2018
FamPay,₹581.60 Cr,Fintech,Mumbai,Maharashtra,"Matrix Partners India, Naspers",2021-06-18,2021
M2P Fintech,₹81.69 Cr,Fintech,Bangalore,Karnataka,Saama Capital,2021-11-01,2021
Shaadi.com,₹25.98 Cr,E-Commerce,Pune,Maharashtra,Binny Bansal,2015-07-03,2015
Spinny,₹612.22 Cr,SaaS,Bangalore,Karnataka,Coatue Management,2019-12-02,2019
Blinkit,₹359.08 Cr,Edtech,Delhi,Delhi,Times Internet,2021-04-04,2021
Tractor Junction,₹85.16 Cr,Logistics,Chandigarh,Chandigarh,"Matrix Partners India, Bhavish Aggarwal",2025-06-02,2025
Open Network,₹37.77 Cr,Healthtech,Gurgaon,Haryana,Nexus Venture Partners,2023-02-17,2023
Amazon Fresh,₹272.71 Cr,Gaming,Hyderabad,Telangana,"Accel Partners, Saama Capital",2021-01-29,2021
WayCool,₹17.93 Cr,Mobility,Hyderabad,Telangana,Ritesh Agarwal,2013-04-21,2013
BookMyShow,₹5.27 Cr,E-Commerce,Mumbai,Maharashtra,Mumbai Angels,2010-05-03,2010
Zerodha,₹7.89 Cr,E-Commerce,Chennai,Tamil Nadu,Deepinder Goyal,2013-02-04,2013
CarWale,₹20.34 Cr,SaaS,Mumbai,Maharashtra,SAIF Partners,2018-04-07,2018
Slice,₹247.66 Cr,SaaS,Chennai,Tamil Nadu,Lightspeed Venture Partners,2022-09-26,2022
Shopclues,₹52.05 Cr,SaaS,Gurgaon,Haryana,Ratan Tata,2018-10-16,2018
FreshToHome,₹38.27 Cr,Fintech,Mysore,Karnataka,Indian Angel Network,2024-05-07,2024
BharatMatrimony,₹14.94 Cr,E-Commerce,Visakhapatnam,Andhra Pradesh,Accel India,2015-01-10,2015
Vegrow,₹12.30 Cr,Gaming,Gurgaon,Haryana,Chiratae Ventures,2022-06-26,2022
Country Delight,₹4.10 Cr,Healthtech,Kochi,Kerala,Indian Angel Network,2023-11-11,2023
Jupiter,₹4.09 Cr,Foodtech,Mumbai,Maharashtra,Sequoia Capital India,2019-09-14,2019
Rapido,₹25.02 Cr,E-Commerce,Chandigarh,Chandigarh,Kalaari Capital,2020-06-10,2020
Jupiter,₹12.84 Cr,Foodtech,Jaipur,Rajasthan,Matrix Partners India,2019-02-09,2019
Licious,₹8.16 Cr,Logistics,Bangalore,Karnataka,Kalaari Capital,2022-09-22,2022
Vegrow,₹108.65 Cr,Gaming,Delhi,Delhi,"Blume Ventures, Sachin Bansal",2025-12-23,2025
Cars24,₹112.10 Cr,Fintech,Gurgaon,Haryana,Blume Ventures,2021-08-08,2021
Zappfresh,₹26.87 Cr,Gaming,Indore,Madhya Pradesh,Nexus Venture Partners,2021-12-31,2021
CarDekho,₹152.22 Cr,E-Commerce,Bhubaneswar,Odisha,Chiratae Ventures,2019-04-09,2019
Drivezy,₹51.06 Cr,Social Media,Bangalore,Karnataka,Deepinder Goyal,2017-03-02,2017
Go Digit,₹46.16 Cr,Social Media,Chennai,Tamil Nadu,Chiratae Ventures,2016-02-04,2016
CarTrade,₹8.17 Cr,E-Commerce,Mumbai,Maharashtra,Saama Capital,2010-02-17,2010
Flipkart,₹8.02 Cr,E-Commerce,Chennai,Tamil Nadu,Sachin Bansal,2010-02-17,2010
Zetwerk,₹177.91 Cr,Foodtech,Chennai,Tamil Nadu,Fireside Ventures,2018-05-18,2018
Simplilearn,₹109.10 Cr,Fintech,Hyderabad,Telangana,Kalaari Capital,2018-05-18,2018
Josh,₹34.47 Cr,Fintech,Indore,Madhya Pradesh,Peak XV Partners,2022-08-02,2022
Meesho,₹192.45 Cr,E-Commerce,Chennai,Tamil Nadu,Andreessen Horowitz,2015-04-09,2015
Roposo,₹19.92 Cr,E-Commerce,Chandigarh,Chandigarh,Binny Bansal,2019-06-23,2019
Amazon Fresh,₹241.52 Cr,Gaming,Hyderabad,Telangana,"Tiger Global, TCS Ventures",2022-03-07,2022
CropIn,₹5.99 Cr,Agritech,Chennai,Tamil Nadu,Sequoia Capital India,2024-11-12,2024
DealShare,₹34.51 Cr,Foodtech,Bangalore,Karnataka,Saama Capital,2019-10-30,2019
Lybrate,₹3.69 Cr,Fintech,Mumbai,Maharashtra,Nexus Venture Partners,2018-09-30,2018
Moj,₹74.10 Cr,Edtech,Bangalore,Karnataka,Ritesh Agarwal,2020-05-06,2020
ONDC,₹394.01 Cr,SaaS,Nagpur,Maharashtra,Tencent,2025-04-02,2025
FirstCry,₹3.20 Cr,SaaS,Mumbai,Maharashtra,Falguni Nayar,2018-02-27,2018
Slice,₹17.45 Cr,SaaS,Chennai,Tamil Nadu,Chiratae Ventures,2021-12-22,2021
mCaffeine,₹332.03 Cr,Healthtech,Chandigarh,Chandigarh,"Sequoia Capital, Saama Capital",2025-06-01,2025
Jumbotail,₹272.51 Cr,SaaS,Chennai,Tamil Nadu,"Matrix Partners India, Sequoia Capital India",2022-01-25,2022
BlackBuck,₹43.50 Cr,Foodtech,Bangalore,Karnataka,SAIF Partners,2014-12-09,2014
Scripbox,₹603.36 Cr,Logistics,Ahmedabad,Gujarat,Matrix Partners India,2025-06-13,2025
Xpressbees,₹158.54 Cr,Fintech,Thiruvananthapuram,Kerala,"Andreessen Horowitz, Times Internet",2021-05-22,2021
SimplyNadu,₹55.08 Cr,SaaS,Gurgaon,Haryana,Blume Ventures,2021-12-21,2021
Apna,₹3.90 Cr,Foodtech,Kochi,Kerala,Falguni Nayar,2022-08-25,2022
CommonFloor,₹26.09 Cr,E-Commerce,Mumbai,Maharashtra,Chiratae Ventures,2010-10-28,2010
Scripbox,₹15.52 Cr,Logistics,Mumbai,Maharashtra,Accel India,2022-10-02,2022
OfBusiness,₹63.47 Cr,E-Commerce,Gurgaon,Haryana,Mumbai Angels,2019-10-07,2019
MyGlamm,₹5.85 Cr,E-Commerce,Hyderabad,Telangana,Blume Ventures,2022-12-07,2022
Jar,₹38.18 Cr,Healthtech,Lucknow,Uttar Pradesh,Accel India,2021-12-20,2021
Udaan,₹189.69 Cr,Fintech,Gurgaon,Haryana,Reliance Ventures,2017-07-12,2017
ET Money,₹313.55 Cr,Agritech,Bangalore,Karnataka,Naspers,2024-05-28,2024
MyGlamm,₹18.97 Cr,E-Commerce,Surat,Gujarat,Sequoia Capital India,2023-06-23,2023
Acko,₹741.00 Cr,E-Commerce,Hyderabad,Telangana,Sequoia Capital India,2020-12-31,2020
Groww,₹302.74 Cr,Fintech,Hyderabad,Telangana,"Sequoia Capital India, Accel Partners",2018-05-25,2018
Yulu,₹160.36 Cr,Mobility,Kolkata,West Bengal,"Chiratae Ventures, Saama Capital",2018-09-11,2018
OfBusiness,₹1247.40 Cr,E-Commerce,Bangalore,Karnataka,Coatue Management,2021-05-25,2021
Digit Insurance,₹227.61 Cr,Healthtech,Mumbai,Maharashtra,"Saama Capital, Tencent",2018-01-13,2018
Rapido,₹10.76 Cr,E-Commerce,Gurgaon,Haryana,Nexus Venture Partners,2016-07-26,2016
Delhivery,₹17.70 Cr,E-Commerce,Chandigarh,Chandigarh,Peak XV Partners,2015-03-21,2015
CropIn,₹24.78 Cr,Agritech,Gurgaon,Haryana,Vijay Shekhar Sharma,2023-10-28,2023
CommonFloor,₹12.91 Cr,E-Commerce,Bangalore,Karnataka,Matrix Partners India,2011-10-24,2011
MyGlamm,₹19.03 Cr,E-Commerce,Hyderabad,Telangana,Binny Bansal,2024-08-02,2024
Pilgrim,₹265.29 Cr,Deeptech,Chennai,Tamil Nadu,Wipro Ventures,2025-07-23,2025
Toppr,₹62.09 Cr,E-Commerce,Gurgaon,Haryana,Blume Ventures,2014-12-05,2014
CityMall,₹275.86 Cr,Healthtech,Jaipur,Rajasthan,Coatue Management,2023-01-23,2023
Upstox,₹99.55 Cr,Fintech,Nagpur,Maharashtra,"Ratan Tata, Indian Angel Network",2017-07-07,2017
Shadowfax,₹291.82 Cr,SaaS,Chennai,Tamil Nadu,"Lightspeed Venture Partners, SAIF Partners",2019-06-22,2019
Plum Insurance,₹4.36 Cr,Foodtech,Bangalore,Karnataka,Deepinder Goyal,2022-12-10,2022
Bounce,₹9.93 Cr,Foodtech,Hyderabad,Telangana,Bhavish Aggarwal,2016-12-11,2016
NinjaCart,₹277.20 Cr,E-Commerce,Chennai,Tamil Nadu,Saama Capital,2017-11-04,2017
Grofers,₹9.01 Cr,E-Commerce,Delhi,Delhi,Sequoia Capital India,2018-07-29,2018
Zostel,₹452.30 Cr,Fintech,Surat,Gujarat,Andreessen Horowitz,2020-10-19,2020
Yulu,₹14.53 Cr,Mobility,Mumbai,Maharashtra,Indian Angel Network,2019-07-24,2019
Ather Energy,₹42.31 Cr,E-Commerce,Hyderabad,Telangana,Ritesh Agarwal,2022-11-11,2022
OkCredit,₹10.06 Cr,E-Commerce,Hyderabad,Telangana,Ratan Tata,2019-01-01,2019
ElasticRun,₹13.93 Cr,Gaming,Delhi,Delhi,Bhavish Aggarwal,2024-01-21,2024
Revolt Motors,₹8.09 Cr,Fintech,Gurgaon,Haryana,Falguni Nayar,2022-03-31,2022
Ultraviolette,₹32.32 Cr,Fintech,Gurgaon,Haryana,Chiratae Ventures,2023-05-20,2023
Country Delight,₹29.40 Cr,Healthtech,Indore,Madhya Pradesh,Falguni Nayar,2021-05-19,2021
CRED,₹4.41 Cr,Foodtech,Hyderabad,Telangana,Elevation Capital,2015-06-20,2015
Revolt Motors,₹11.29 Cr,Fintech,Chennai,Tamil Nadu,Nexus Venture Partners,2022-05-09,2022
Go Digit,₹6.81 Cr,Social Media,Bangalore,Karnataka,SAIF Partners,2020-06-11,2020
Chingari,₹76.05 Cr,Healthtech,Gurgaon,Haryana,Chiratae Ventures,2021-08-09,2021
Stable Money,₹8.47 Cr,E-Commerce,Delhi,Delhi,Blume Ventures,2024-08-08,2024
Shiprocket,₹294.00 Cr,Foodtech,Chandigarh,Chandigarh,"SoftBank Vision Fund, Accel India",2021-06-26,2021
Hike Messenger,₹100.24 Cr,E-Commerce,Pune,Maharashtra,"SAIF Partners, Ratan Tata",2014-01-27,2014
MyGlamm,₹24.34 Cr,E-Commerce,Bangalore,Karnataka,Accel India,2025-02-19,2025
Noise,₹7.48 Cr,E-Commerce,Hyderabad,Telangana,Lightspeed India,2022-03-11,2022
Vegrow,₹14.24 Cr,Gaming,Kolkata,West Bengal,Bhavish Aggarwal,2022-11-15,2022
Swiggy,₹6.46 Cr,Foodtech,Pune,Maharashtra,Nexus Venture Partners,2015-03-18,2015
SimplyNadu,₹32.68 Cr,SaaS,Gurgaon,Haryana,Matrix Partners India,2020-11-09,2020
MakeMyTrip,₹23.08 Cr,E-Commerce,Delhi,Delhi,SAIF Partners,2010-07-25,2010
Infra.Market,₹501.83 Cr,E-Commerce,Gurgaon,Haryana,"Naspers, Fireside Ventures",2020-12-29,2020
Jar,₹99.97 Cr,Healthtech,Kolkata,West Bengal,Binny Bansal,2021-04-28,2021
Slice,₹11.37 Cr,SaaS,Surat,Gujarat,Nexus Venture Partners,2023-09-22,2023
Upstox,₹3.98 Cr,Fintech,Ahmedabad,Gujarat,Fireside Ventures,2017-04-29,2017
OLX India,₹138.44 Cr,E-Commerce,Bangalore,Karnataka,Coatue Management,2012-08-29,2012
Drivezy,₹337.85 Cr,Social Media,Chennai,Tamil Nadu,"Elevation Capital, Accel India",2021-03-25,2021
BlackBuck,₹18.03 Cr,Foodtech,Bangalore,Karnataka,Fireside Ventures,2018-05-16,2018
Droom,₹12.41 Cr,Agritech,Mumbai,Maharashtra,Matrix Partners India,2021-03-24,2021
The HealthInsurance,₹16.12 Cr,Edtech,Chennai,Tamil Nadu,Matrix Partners India,2023-04-16,2023
Naukri,₹358.95 Cr,E-Commerce,Chennai,Tamil Nadu,Lightspeed India,2012-12-18,2012
PhonePe,₹197.84 Cr,E-Commerce,Kochi,Kerala,Nexus Venture Partners,2016-12-21,2016
Ather Energy,₹18.26 Cr,E-Commerce,Pune,Maharashtra,Binny Bansal,2014-01-21,2014
PolicyBazaar,₹14.18 Cr,E-Commerce,Bangalore,Karnataka,Elevation Capital,2010-11-28,2010
Portea Medical,₹938.42 Cr,E-Commerce,Hyderabad,Telangana,"Tencent, TPG Capital",2015-07-19,2015
Zostel,₹426.84 Cr,Fintech,Gurgaon,Haryana,"Accel India, Lightspeed India",2018-05-11,2018
FreshToHome,₹241.66 Cr,Fintech,Chennai,Tamil Nadu,Fireside Ventures,2025-01-13,2025
Cars24,₹314.97 Cr,Fintech,Bangalore,Karnataka,SAIF Partners,2019-07-14,2019
Country Delight,₹5.11 Cr,Healthtech,Chennai,Tamil Nadu,Fireside Ventures,2019-11-09,2019
WayCool,₹1268.48 Cr,Mobility,Chennai,Tamil Nadu,"Steadview Capital, Sequoia Capital India, Lightspeed Venture Partners, SoftBank Vision Fund, Accel India",2017-10-24,2017
BharatPe,₹9.29 Cr,Healthtech,Chennai,Tamil Nadu,Deepinder Goyal,2021-10-16,2021
Rivigo,₹344.82 Cr,Foodtech,Chennai,Tamil Nadu,Andreessen Horowitz,2018-08-05,2018
FabHotels,₹17.66 Cr,SaaS,Pune,Maharashtra,Sachin Bansal,2016-09-03,2016
Bounce,₹60.44 Cr,Foodtech,Chennai,Tamil Nadu,Accel India,2017-04-11,2017
Josh,₹127.95 Cr,Fintech,Kochi,Kerala,Ratan Tata,2023-02-15,2023
EarlySalary,₹10.52 Cr,Mobility,Delhi,Delhi,Kunal Shah,2025-12-14,2025
OLX India,₹135.91 Cr,E-Commerce,Chennai,Tamil Nadu,"Accel Partners, Accel India",2013-01-11,2013
MoneyView,₹687.00 Cr,E-Commerce,Delhi,Delhi,"Sequoia Capital India, Andreessen Horowitz",2024-08-14,2024
KissanKraft,₹208.79 Cr,Gaming,Ahmedabad,Gujarat,Blume Ventures,2025-06-09,2025
ElasticRun,₹6.67 Cr,Gaming,Kolkata,West Bengal,Kalaari Capital,2024-06-28,2024
Paytm First Games,₹46.86 Cr,Social Media,Bangalore,Karnataka,Saama Capital,2017-06-26,2017
Jar,₹229.97 Cr,Healthtech,Chennai,Tamil Nadu,Times Internet,2021-10-28,2021
CropIn,₹112.76 Cr,Agritech,Gurgaon,Haryana,"Nexus Venture Partners, Peak XV Partners",2025-10-22,2025
Josh,₹115.07 Cr,Fintech,Delhi,Delhi,"Vijay Shekhar Sharma, Lightspeed India",2022-07-23,2022
Moj,₹46.48 Cr,Edtech,Pune,Maharashtra,Nexus Venture Partners,2024-06-24,2024
Vogo,₹122.02 Cr,Edtech,Hyderabad,Telangana,"Fireside Ventures, Matrix Partners India",2021-02-12,2021
Tractor Junction,₹41.90 Cr,Logistics,Chennai,Tamil Nadu,Kunal Shah,2025-04-17,2025
Milkbasket,₹324.72 Cr,E-Commerce,Bangalore,Karnataka,"Chiratae Ventures, Qualcomm Ventures",2022-04-19,2022
Sugar Cosmetics,₹10.56 Cr,Healthtech,Gurgaon,Haryana,Ritesh Agarwal,2025-02-08,2025
OfBusiness,₹157.12 Cr,E-Commerce,Chandigarh,Chandigarh,"Lightspeed India, Steadview Capital",2020-11-15,2020
M2P Fintech,₹18.43 Cr,Fintech,Mysore,Karnataka,Ratan Tata,2023-08-26,2023
KreditBee,₹87.43 Cr,Healthtech,Coimbatore,Tamil Nadu,"Accel India, Vijay Shekhar Sharma",2024-12-23,2024
Xpressbees,₹24.88 Cr,Fintech,Vadodara,Gujarat,Nexus Venture Partners,2019-12-19,2019
PayTM,₹16.92 Cr,Mobility,Pune,Maharashtra,Accel India,2018-06-14,2018
InShorts,₹29.12 Cr,SaaS,Gurgaon,Haryana,Kalaari Capital,2021-12-22,2021
MyGlamm,₹13.36 Cr,E-Commerce,Mumbai,Maharashtra,Falguni Nayar,2025-10-07,2025
ElasticRun,₹80.96 Cr,Gaming,Kolkata,West Bengal,Mumbai Angels,2023-07-26,2023
MyGlamm,₹25.40 Cr,E-Commerce,Vadodara,Gujarat,Falguni Nayar,2024-06-04,2024
The Ken,₹18.42 Cr,E-Commerce,Hyderabad,Telangana,Accel India,2022-04-25,2022
Shopclues,₹195.36 Cr,SaaS,Mumbai,Maharashtra,"Coatue Management, Peak XV Partners",2017-05-28,2017
Niyo,₹315.57 Cr,Fintech,Gurgaon,Haryana,"Andreessen Horowitz, Nexus Venture Partners",2024-02-28,2024
Zebronics,₹32.13 Cr,E-Commerce,Hyderabad,Telangana,Elevation Capital,2023-10-15,2023
Go Digit,₹96.25 Cr,Social Media,Gurgaon,Haryana,"Matrix Partners India, Mumbai Angels",2019-06-26,2019
Swiggy,₹12.93 Cr,Foodtech,Chennai,Tamil Nadu,Kalaari Capital,2016-03-14,2016
AgroStar,₹3.46 Cr,Foodtech,Hyderabad,Telangana,Deepinder Goyal,2016-11-11,2016
