Startup Name,Amount_Cleaned,Amount_USD,Amount_INR_Numeric,Sector_Standardized,City,State_Standardized,Investors' Name,Funding_Stage,Date_Parsed,Year,Quarter,Month
GoIbibo,₹79.19 Cr,$14.82M,791923449.570118,E-Commerce,Gurgaon,Haryana,Elevation Capital,Bridge,2012-12-18,2012,Q4,December
Acko,₹40.00 Cr,$6.14M,400009221.6236405,E-Commerce,Gurgaon,Haryana,Fireside Ventures,Series A,2017-01-20,2017,Q1,January
Ultraviolette,₹52.58 Cr,$6.22M,525839854.6166613,Fintech,Pune,Maharashtra,SAIF Partners,Pre-Series A,2025-10-15,2025,Q4,October
MoneyTap,₹15.45 Cr,$3.31M,154527677.73858178,E-Commerce,Mumbai,Maharashtra,Elevation Capital,Pre-Series A,2011-01-22,2011,Q1,January
UrbanClap,₹35.02 Cr,$7.50M,350192611.9853807,E-Commerce,Hyderabad,Telangana,Lightspeed India,Pre-Series A,2011-08-24,2011,Q3,August
Dunzo Daily,₹63.55 Cr,$7.69M,635456647.6863815,SaaS,Chennai,Tamil Nadu,Peak XV Partners,Bridge,2023-01-12,2023,Q1,January
Meesho,₹31.83 Cr,$4.96M,318321148.985941,E-Commerce,Bangalore,Karnataka,Bhavish Aggarwal,Series A,2015-08-03,2015,Q3,August
Cars24,₹82.35 Cr,$11.20M,823484507.1821202,Fintech,Delhi,Delhi,"Peak XV Partners, Nexus Venture Partners",Bridge,2021-03-01,2021,Q1,March
Pepperfry,₹348.63 Cr,$53.54M,3486311049.549785,E-Commerce,Chennai,Tamil Nadu,Elevation Capital,Series B,2017-08-25,2017,Q3,August
Redbus,₹177.42 Cr,$27.66M,1774233320.537157,E-Commerce,Mumbai,Maharashtra,"Steadview Capital, Kalaari Capital",Series B,2015-06-08,2015,Q2,June
Zostel,₹7.85 Cr,$1.17M,78507018.95465057,Fintech,Delhi,Delhi,Accel India,Seed,2016-07-22,2016,Q3,July
Hike Messenger,₹35.48 Cr,$7.60M,354751674.83250374,E-Commerce,Mumbai,Maharashtra,Saama Capital,Pre-Series A,2011-09-14,2011,Q3,September
FamPay,₹80.00 Cr,$9.61M,799980596.1312213,Fintech,Delhi,Delhi,Chiratae Ventures,Series A,2024-10-05,2024,Q4,October
Blue Smart,₹5.93 Cr,$0.75M,59309953.08869493,Fintech,Chandigarh,Chandigarh,SAIF Partners,Seed,2022-06-08,2022,Q2,June
Zappfresh,₹41.79 Cr,$5.69M,417932138.08371645,Gaming,Mumbai,Maharashtra,Deepinder Goyal,Pre-Series A,2021-05-10,2021,Q2,May
Rapido,₹49.55 Cr,$7.04M,495490688.83827966,E-Commerce,Kolkata,West Bengal,Nexus Venture Partners,Series A,2019-06-24,2019,Q2,June
FabFurnish,₹80.99 Cr,$12.05M,809948561.7085603,Foodtech,Ahmedabad,Gujarat,Lightspeed India,Bridge,2016-10-20,2016,Q4,October
OkCredit,₹33.30 Cr,$4.00M,333000000.0,E-Commerce,Surat,Gujarat,Ratan Tata,Seed,2024-05-18,2024,Q2,May
Jupiter,₹503.55 Cr,$68.51M,5035546015.263587,Foodtech,Indore,Madhya Pradesh,Sequoia Capital India,Series B,2021-04-02,2021,Q2,April
Mamaearth,₹179.48 Cr,$21.56M,1794817138.333506,Edtech,Coimbatore,Tamil Nadu,"Tiger Global, Steadview Capital",Series B,2024-12-29,2024,Q4,December
Apna,₹26.38 Cr,$3.59M,263805687.96128267,Foodtech,Lucknow,Uttar Pradesh,Lightspeed India,Pre-Series A,2021-05-06,2021,Q2,May
Upstox,₹84.18 Cr,$12.93M,841819872.1640068,Fintech,Bangalore,Karnataka,Chiratae Ventures,Series A,2017-10-10,2017,Q4,October
Wow Skin Science,₹176.49 Cr,$21.20M,1764895406.2765741,E-Commerce,Kolkata,West Bengal,"Fireside Ventures, Sequoia Capital India",Bridge,2024-04-27,2024,Q2,April
OkCredit,₹192.85 Cr,$23.35M,1928542500.1656146,E-Commerce,Mumbai,Maharashtra,"Blume Ventures, Steadview Capital",Series A,2023-07-09,2023,Q3,July
OYO Rooms,₹75.61 Cr,$11.61M,756104643.5878111,E-Commerce,Kochi,Kerala,"SAIF Partners, Elevation Capital",Series A,2017-04-03,2017,Q2,April
Stable Money,₹17.58 Cr,$2.24M,175789064.43732846,E-Commerce,Gurgaon,Haryana,Mumbai Angels,Pre-Series A,2022-07-29,2022,Q3,July
KreditBee,₹5.61 Cr,$0.71M,56074107.33070735,Healthtech,Mumbai,Maharashtra,Blume Ventures,Seed,2022-11-07,2022,Q4,November
Dunzo Daily,₹5.80 Cr,$0.82M,58034738.99960153,SaaS,Coimbatore,Tamil Nadu,Kalaari Capital,Seed,2019-05-07,2019,Q2,May
Verloop.io,₹13.85 Cr,$2.06M,138462030.6743965,Fintech,Chennai,Tamil Nadu,Lightspeed India,Pre-Series A,2016-01-15,2016,Q1,January
FabHotels,₹17.63 Cr,$2.38M,176260039.57117993,SaaS,Pune,Maharashtra,SAIF Partners,Pre-Series A,2020-05-19,2020,Q2,May
BankBazaar,₹3.49 Cr,$0.75M,34861698.382635236,E-Commerce,Hyderabad,Telangana,Kalaari Capital,Seed,2011-01-17,2011,Q1,January
CredFlow,₹1791.97 Cr,$212.07M,17919718428.90202,E-Commerce,Gurgaon,Haryana,"Saama Capital, KKR India, Tencent",Series C,2025-03-30,2025,Q1,March
CarWale,₹7.55 Cr,$1.10M,75493660.96683513,SaaS,Mumbai,Maharashtra,Ritesh Agarwal,Seed,2018-03-14,2018,Q1,March
Zebronics,₹985.22 Cr,$116.59M,9852203870.90443,E-Commerce,Delhi,Delhi,"Lightspeed Venture Partners, Matrix Partners India, Accel Partners, Naspers",Series C,2025-05-29,2025,Q2,May
Swiggy,₹836.21 Cr,$128.41M,8362134694.71826,Foodtech,Lucknow,Uttar Pradesh,"General Atlantic, Matrix Partners India, Coatue Management, Warburg Pincus",Series C,2017-05-15,2017,Q2,May
Jupiter,₹8.67 Cr,$1.23M,86719035.53204234,Foodtech,Surat,Gujarat,Kalaari Capital,Seed,2019-11-21,2019,Q4,November
Shiprocket,₹29.64 Cr,$4.00M,296400000.0,Foodtech,Pune,Maharashtra,Chiratae Ventures,Seed,2020-01-15,2020,Q1,January
CarDekho,₹114.03 Cr,$17.51M,1140317986.5221677,E-Commerce,Indore,Madhya Pradesh,Bhavish Aggarwal,Series A,2017-01-31,2017,Q1,January
BlackBuck,₹393.30 Cr,$57.51M,3932973190.454415,Foodtech,Chennai,Tamil Nadu,Lightspeed India,Debt,2018-11-13,2018,Q4,November
Shopclues,₹9.46 Cr,$1.38M,94606578.41786589,SaaS,Ahmedabad,Gujarat,Peak XV Partners,Seed,2018-09-15,2018,Q3,September
Milkbasket,₹15.05 Cr,$2.14M,150477585.13174856,E-Commerce,Delhi,Delhi,Falguni Nayar,Seed,2019-03-04,2019,Q1,March
CropIn,₹55.56 Cr,$6.57M,555583058.9897984,Agritech,Delhi,Delhi,Saama Capital,Series A,2025-11-17,2025,Q4,November
Drivezy,₹68.40 Cr,$9.31M,684036338.4716433,Social Media,Bangalore,Karnataka,Blume Ventures,Series A,2021-10-27,2021,Q4,October
BookMyShow,₹37.07 Cr,$5.78M,370707842.20585793,E-Commerce,Bangalore,Karnataka,Indian Angel Network,Pre-Series A,2015-12-17,2015,Q4,December
MyGlamm,₹6.97 Cr,$0.89M,69749853.6273703,E-Commerce,Bangalore,Karnataka,Mumbai Angels,Pre-Series A,2022-10-06,2022,Q4,October
Jumbotail,₹103.26 Cr,$14.05M,1032627368.6215935,SaaS,Mumbai,Maharashtra,Kalaari Capital,Series B,2021-04-19,2021,Q2,April
Shiprocket,₹3.85 Cr,$0.57M,38518805.80117365,Foodtech,Mumbai,Maharashtra,Bhavish Aggarwal,Seed,2016-11-27,2016,Q4,November
Digit Insurance,₹777.99 Cr,$105.85M,7779931557.358978,Healthtech,Jaipur,Rajasthan,"Steadview Capital, Kalaari Capital",Series C,2021-11-12,2021,Q4,November
Roposo,₹633.23 Cr,$76.66M,6332325225.660213,E-Commerce,Gurgaon,Haryana,"Peak XV Partners, Lightspeed India, Lightspeed Venture Partners",Debt,2023-05-24,2023,Q2,May
Unacademy,₹124.80 Cr,$18.57M,1248016978.9356446,Fintech,Bangalore,Karnataka,Mumbai Angels,Series A,2016-03-26,2016,Q1,March
Ather Energy,₹1761.31 Cr,$208.44M,17613070175.920944,E-Commerce,Mysore,Karnataka,"Everstone Capital, Lightspeed India, Sequoia Capital, Alibaba",Series C,2025-05-18,2025,Q2,May
CropIn,₹4.37 Cr,$0.56M,43720151.10165292,Agritech,Coimbatore,Tamil Nadu,Indian Angel Network,Seed,2022-08-25,2022,Q3,August
Shopclues,₹7.16 Cr,$1.06M,71558219.6976978,SaaS,Thiruvananthapuram,Kerala,SAIF Partners,Seed,2016-09-22,2016,Q3,September
InShorts,₹72.76 Cr,$8.74M,727581686.9280566,SaaS,Mumbai,Maharashtra,Sachin Bansal,Series A,2024-10-23,2024,Q4,October
ShareChat,₹23.95 Cr,$3.05M,239516903.59177738,Fintech,Hyderabad,Telangana,Elevation Capital,Pre-Series A,2022-09-14,2022,Q3,September
Stable Money,₹11.43 Cr,$1.38M,114267313.50728646,E-Commerce,Jaipur,Rajasthan,SAIF Partners,Seed,2023-01-20,2023,Q1,January
Waycool Foods,₹11.18 Cr,$1.42M,111781137.4055626,Foodtech,Vadodara,Gujarat,Matrix Partners India,Pre-Series A,2022-12-12,2022,Q4,December
FreshToHome,₹692.35 Cr,$83.82M,6923528751.756784,Fintech,Bangalore,Karnataka,"Sequoia Capital, Blume Ventures",Series C,2023-10-12,2023,Q4,October
BharatPe,₹7.05 Cr,$0.85M,70522276.30675839,Healthtech,Chennai,Tamil Nadu,Nexus Venture Partners,Seed,2023-06-27,2023,Q2,June
Tractor Junction,₹143.44 Cr,$17.23M,1434353261.375136,Logistics,Chandigarh,Chandigarh,Fireside Ventures,Series A,2024-01-10,2024,Q1,January
Udaan,₹54.09 Cr,$8.86M,540943122.824039,Fintech,Gurgaon,Haryana,Ratan Tata,Series A,2014-02-28,2014,Q1,February
Udaan,₹6.72 Cr,$1.10M,67227961.94491251,Fintech,Indore,Madhya Pradesh,Kunal Shah,Pre-Series A,2014-07-12,2014,Q3,July
Cars24,₹22.89 Cr,$3.11M,228928050.3229877,Fintech,Lucknow,Uttar Pradesh,Bhavish Aggarwal,Seed,2021-09-10,2021,Q3,September
Country Delight,₹235.80 Cr,$30.00M,2358000000.0,Healthtech,Kochi,Kerala,Aditya Birla Ventures,Series C,2022-02-10,2022,Q1,February
Slice,₹274.31 Cr,$34.90M,2743126278.8410845,SaaS,Ahmedabad,Gujarat,"Sequoia Capital India, Coatue Management",Series C,2022-03-04,2022,Q1,March
Mobile Premier League,₹11.48 Cr,$1.68M,114788860.47718689,Foodtech,Visakhapatnam,Andhra Pradesh,Matrix Partners India,Seed,2018-10-23,2018,Q4,October
MobiKwik,₹23.81 Cr,$3.48M,238145805.94280553,E-Commerce,Chennai,Tamil Nadu,Elevation Capital,Pre-Series A,2018-07-26,2018,Q3,July
Cars24,₹109.10 Cr,$16.75M,1090961977.478686,Fintech,Lucknow,Uttar Pradesh,Accel India,Series A,2017-12-01,2017,Q4,December
Digit Insurance,₹17.88 Cr,$2.75M,178776251.94377285,Healthtech,Chennai,Tamil Nadu,Chiratae Ventures,Pre-Series A,2017-02-19,2017,Q1,February
Ecom Express,₹53.73 Cr,$7.86M,537264423.1983728,E-Commerce,Indore,Madhya Pradesh,Matrix Partners India,Pre-Series A,2018-10-21,2018,Q4,October
FamPay,₹581.60 Cr,$79.13M,5816014372.126649,Fintech,Mumbai,Maharashtra,"Matrix Partners India, Naspers",Series B,2021-06-18,2021,Q2,June
M2P Fintech,₹81.69 Cr,$11.11M,816871025.7038492,Fintech,Bangalore,Karnataka,Saama Capital,Series A,2021-11-01,2021,Q4,November
Shaadi.com,₹25.98 Cr,$4.05M,259840102.31096977,E-Commerce,Pune,Maharashtra,Binny Bansal,Pre-Series A,2015-07-03,2015,Q3,July
Spinny,₹612.22 Cr,$86.94M,6122224508.265555,SaaS,Bangalore,Karnataka,Coatue Management,Series C,2019-12-02,2019,Q4,December
Blinkit,₹359.08 Cr,$48.85M,3590772996.7076697,Edtech,Delhi,Delhi,Times Internet,Series B,2021-04-04,2021,Q2,April
Tractor Junction,₹85.16 Cr,$10.08M,851575956.2458359,Logistics,Chandigarh,Chandigarh,"Matrix Partners India, Bhavish Aggarwal",Series B,2025-06-02,2025,Q2,June
Open Network,₹37.77 Cr,$4.57M,377668865.81607133,Healthtech,Gurgaon,Haryana,Nexus Venture Partners,Series A,2023-02-17,2023,Q1,February
Amazon Fresh,₹272.71 Cr,$37.10M,2727140246.1946564,Gaming,Hyderabad,Telangana,"Accel Partners, Saama Capital",Series B,2021-01-29,2021,Q1,January
WayCool,₹17.93 Cr,$3.06M,179285491.29666236,Mobility,Hyderabad,Telangana,Ritesh Agarwal,Pre-Series A,2013-04-21,2013,Q2,April
BookMyShow,₹5.27 Cr,$1.15M,52654290.09800322,E-Commerce,Mumbai,Maharashtra,Mumbai Angels,Seed,2010-05-03,2010,Q2,May
Zerodha,₹7.89 Cr,$1.35M,78850393.41674659,E-Commerce,Chennai,Tamil Nadu,Deepinder Goyal,Seed,2013-02-04,2013,Q1,February
CarWale,₹20.34 Cr,$2.97M,203366415.63145667,SaaS,Mumbai,Maharashtra,SAIF Partners,Pre-Series A,2018-04-07,2018,Q2,April
Slice,₹247.66 Cr,$31.51M,2476611884.8232126,SaaS,Chennai,Tamil Nadu,Lightspeed Venture Partners,Series B,2022-09-26,2022,Q3,September
Shopclues,₹52.05 Cr,$7.61M,520477546.4830971,SaaS,Gurgaon,Haryana,Ratan Tata,Bridge,2018-10-16,2018,Q4,October
FreshToHome,₹38.27 Cr,$4.60M,382688803.03596115,Fintech,Mysore,Karnataka,Indian Angel Network,Pre-Series A,2024-05-07,2024,Q2,May
BharatMatrimony,₹14.94 Cr,$2.33M,149387838.99770224,E-Commerce,Visakhapatnam,Andhra Pradesh,Accel India,Seed,2015-01-10,2015,Q1,January
Vegrow,₹12.30 Cr,$1.56M,122960286.62167683,Gaming,Gurgaon,Haryana,Chiratae Ventures,Pre-Series A,2022-06-26,2022,Q2,June
Country Delight,₹4.10 Cr,$0.50M,40997098.33570585,Healthtech,Kochi,Kerala,Indian Angel Network,Seed,2023-11-11,2023,Q4,November
Jupiter,₹4.09 Cr,$0.58M,40919785.176067024,Foodtech,Mumbai,Maharashtra,Sequoia Capital India,Seed,2019-09-14,2019,Q3,September
Rapido,₹25.02 Cr,$3.38M,250197650.01914042,E-Commerce,Chandigarh,Chandigarh,Kalaari Capital,Pre-Series A,2020-06-10,2020,Q2,June
Jupiter,₹12.84 Cr,$1.82M,128408618.76956168,Foodtech,Jaipur,Rajasthan,Matrix Partners India,Pre-Series A,2019-02-09,2019,Q1,February
Licious,₹8.16 Cr,$1.04M,81598838.07890427,Logistics,Bangalore,Karnataka,Kalaari Capital,Seed,2022-09-22,2022,Q3,September
Vegrow,₹108.65 Cr,$12.86M,1086548097.971457,Gaming,Delhi,Delhi,"Blume Ventures, Sachin Bansal",Series A,2025-12-23,2025,Q4,December
Cars24,₹112.10 Cr,$15.25M,1121029899.636395,Fintech,Gurgaon,Haryana,Blume Ventures,Series A,2021-08-08,2021,Q3,August
Zappfresh,₹26.87 Cr,$3.66M,268693602.30817324,Gaming,Indore,Madhya Pradesh,Nexus Venture Partners,Pre-Series A,2021-12-31,2021,Q4,December
CarDekho,₹152.22 Cr,$21.62M,1522245975.5404043,E-Commerce,Bhubaneswar,Odisha,Chiratae Ventures,Series B,2019-04-09,2019,Q2,April
Drivezy,₹51.06 Cr,$7.84M,510566423.4552654,Social Media,Bangalore,Karnataka,Deepinder Goyal,Series A,2017-03-02,2017,Q1,March
Go Digit,₹46.16 Cr,$6.87M,461624420.3321923,Social Media,Chennai,Tamil Nadu,Chiratae Ventures,Pre-Series A,2016-02-04,2016,Q1,February
CarTrade,₹8.17 Cr,$1.79M,81727256.54880935,E-Commerce,Mumbai,Maharashtra,Saama Capital,Seed,2010-02-17,2010,Q1,February
Flipkart,₹8.02 Cr,$1.75M,80162568.7423938,E-Commerce,Chennai,Tamil Nadu,Sachin Bansal,Seed,2010-02-17,2010,Q1,February
Zetwerk,₹177.91 Cr,$26.01M,1779053377.1892033,Foodtech,Chennai,Tamil Nadu,Fireside Ventures,Series B,2018-05-18,2018,Q2,May
Simplilearn,₹109.10 Cr,$15.95M,1090969734.3430712,Fintech,Hyderabad,Telangana,Kalaari Capital,Series A,2018-05-18,2018,Q2,May
Josh,₹34.47 Cr,$4.39M,344728802.04011285,Fintech,Indore,Madhya Pradesh,Peak XV Partners,Series A,2022-08-02,2022,Q3,August
Meesho,₹192.45 Cr,$30.00M,1924500000.0000002,E-Commerce,Chennai,Tamil Nadu,Andreessen Horowitz,Series A,2015-04-09,2015,Q2,April
Roposo,₹19.92 Cr,$2.83M,199218814.65284264,E-Commerce,Chandigarh,Chandigarh,Binny Bansal,Seed,2019-06-23,2019,Q2,June
Amazon Fresh,₹241.52 Cr,$30.73M,2415240704.338825,Gaming,Hyderabad,Telangana,"Tiger Global, TCS Ventures",Series B,2022-03-07,2022,Q1,March
CropIn,₹5.99 Cr,$0.72M,59900086.7312128,Agritech,Chennai,Tamil Nadu,Sequoia Capital India,Seed,2024-11-12,2024,Q4,November
DealShare,₹34.51 Cr,$4.90M,345142682.04480034,Foodtech,Bangalore,Karnataka,Saama Capital,Pre-Series A,2019-10-30,2019,Q4,October
Lybrate,₹3.69 Cr,$0.54M,36874695.9068126,Fintech,Mumbai,Maharashtra,Nexus Venture Partners,Seed,2018-09-30,2018,Q3,September
Moj,₹74.10 Cr,$10.00M,741000000.0,Edtech,Bangalore,Karnataka,Ritesh Agarwal,Pre-Series A,2020-05-06,2020,Q2,May
ONDC,₹394.01 Cr,$46.63M,3940101891.0724835,SaaS,Nagpur,Maharashtra,Tencent,Series B,2025-04-02,2025,Q2,April
FirstCry,₹3.20 Cr,$0.47M,32036027.60184252,SaaS,Mumbai,Maharashtra,Falguni Nayar,Seed,2018-02-27,2018,Q1,February
Slice,₹17.45 Cr,$2.37M,174493956.46994394,SaaS,Chennai,Tamil Nadu,Chiratae Ventures,Seed,2021-12-22,2021,Q4,December
mCaffeine,₹332.03 Cr,$39.29M,3320304411.7721424,Healthtech,Chandigarh,Chandigarh,"Sequoia Capital, Saama Capital",Series C,2025-06-01,2025,Q2,June
Jumbotail,₹272.51 Cr,$34.67M,2725141490.888561,SaaS,Chennai,Tamil Nadu,"Matrix Partners India, Sequoia Capital India",Series C,2022-01-25,2022,Q1,January
BlackBuck,₹43.50 Cr,$7.13M,435015944.8255467,Foodtech,Bangalore,Karnataka,SAIF Partners,Series A,2014-12-09,2014,Q4,December
Scripbox,₹603.36 Cr,$71.40M,6033587345.985118,Logistics,Ahmedabad,Gujarat,Matrix Partners India,Debt,2025-06-13,2025,Q2,June
Xpressbees,₹158.54 Cr,$21.57M,1585409199.6952813,Fintech,Thiruvananthapuram,Kerala,"Andreessen Horowitz, Times Internet",Series A,2021-05-22,2021,Q2,May
SimplyNadu,₹55.08 Cr,$7.49M,550846150.6667334,SaaS,Gurgaon,Haryana,Blume Ventures,Series A,2021-12-21,2021,Q4,December
Apna,₹3.90 Cr,$0.50M,39014956.29116356,Foodtech,Kochi,Kerala,Falguni Nayar,Seed,2022-08-25,2022,Q3,August
CommonFloor,₹26.09 Cr,$5.71M,260909995.03792128,E-Commerce,Mumbai,Maharashtra,Chiratae Ventures,Pre-Series A,2010-10-28,2010,Q4,October
Scripbox,₹15.52 Cr,$1.97M,155170661.52522364,Logistics,Mumbai,Maharashtra,Accel India,Pre-Series A,2022-10-02,2022,Q4,October
OfBusiness,₹63.47 Cr,$9.01M,634653834.0834173,E-Commerce,Gurgaon,Haryana,Mumbai Angels,Series A,2019-10-07,2019,Q4,October
MyGlamm,₹5.85 Cr,$0.74M,58471338.558644846,E-Commerce,Hyderabad,Telangana,Blume Ventures,Seed,2022-12-07,2022,Q4,December
Jar,₹38.18 Cr,$5.19M,381830778.10299426,Healthtech,Lucknow,Uttar Pradesh,Accel India,Pre-Series A,2021-12-20,2021,Q4,December
Udaan,₹189.69 Cr,$29.13M,1896928136.0528328,Fintech,Gurgaon,Haryana,Reliance Ventures,Series B,2017-07-12,2017,Q3,July
ET Money,₹313.55 Cr,$37.66M,3135526062.934721,Agritech,Bangalore,Karnataka,Naspers,Series B,2024-05-28,2024,Q2,May
MyGlamm,₹18.97 Cr,$2.30M,189691303.10060942,E-Commerce,Surat,Gujarat,Sequoia Capital India,Pre-Series A,2023-06-23,2023,Q2,June
Acko,₹741.00 Cr,$100.00M,7409999999.999999,E-Commerce,Hyderabad,Telangana,Sequoia Capital India,Series B,2020-12-31,2020,Q4,December
Groww,₹302.74 Cr,$44.27M,3027382431.941287,Fintech,Hyderabad,Telangana,"Sequoia Capital India, Accel Partners",Series B,2018-05-25,2018,Q2,May
Yulu,₹160.36 Cr,$23.45M,1603577558.8615963,Mobility,Kolkata,West Bengal,"Chiratae Ventures, Saama Capital",Bridge,2018-09-11,2018,Q3,September
OfBusiness,₹1247.40 Cr,$169.71M,12474003295.8257,E-Commerce,Bangalore,Karnataka,Coatue Management,Series C,2021-05-25,2021,Q2,May
Digit Insurance,₹227.61 Cr,$33.28M,2276099117.6825805,Healthtech,Mumbai,Maharashtra,"Saama Capital, Tencent",Series B,2018-01-13,2018,Q1,January
Rapido,₹10.76 Cr,$1.60M,107552880.98136114,E-Commerce,Gurgaon,Haryana,Nexus Venture Partners,Seed,2016-07-26,2016,Q3,July
Delhivery,₹17.70 Cr,$2.76M,176982089.08517247,E-Commerce,Chandigarh,Chandigarh,Peak XV Partners,Seed,2015-03-21,2015,Q1,March
CropIn,₹24.78 Cr,$3.00M,247799999.99999997,Agritech,Gurgaon,Haryana,Vijay Shekhar Sharma,Series A,2023-10-28,2023,Q4,October
CommonFloor,₹12.91 Cr,$2.77M,129097970.37942457,E-Commerce,Bangalore,Karnataka,Matrix Partners India,Pre-Series A,2011-10-24,2011,Q4,October
MyGlamm,₹19.03 Cr,$2.29M,190316889.67947653,E-Commerce,Hyderabad,Telangana,Binny Bansal,Seed,2024-08-02,2024,Q3,August
Pilgrim,₹265.29 Cr,$31.40M,2652922754.5766454,Deeptech,Chennai,Tamil Nadu,Wipro Ventures,Series B,2025-07-23,2025,Q3,July
Toppr,₹62.09 Cr,$10.17M,620883508.154556,E-Commerce,Gurgaon,Haryana,Blume Ventures,Series A,2014-12-05,2014,Q4,December
CityMall,₹275.86 Cr,$33.40M,2758608041.4839587,Healthtech,Jaipur,Rajasthan,Coatue Management,Series B,2023-01-23,2023,Q1,January
Upstox,₹99.55 Cr,$15.29M,995542565.7409413,Fintech,Nagpur,Maharashtra,"Ratan Tata, Indian Angel Network",Bridge,2017-07-07,2017,Q3,July
Shadowfax,₹291.82 Cr,$41.44M,2918184849.7584653,SaaS,Chennai,Tamil Nadu,"Lightspeed Venture Partners, SAIF Partners",Series B,2019-06-22,2019,Q2,June
Plum Insurance,₹4.36 Cr,$0.56M,43636227.21424425,Foodtech,Bangalore,Karnataka,Deepinder Goyal,Seed,2022-12-10,2022,Q4,December
